"","DATE","GDP","DOMESTIC","INTERNATIONAL","TOTAL"
"1","2002-10-01",11061.433,142589516,28633764,171223280
"2","2003-01-01",11174.129,134191930,27548461,161740391
"3","2003-04-01",11312.766,148395128,27459078,175854206
"4","2003-07-01",11566.669,153945154,32959525,186904679
"5","2003-10-01",11772.234,146761554,29602791,176364345
"6","2004-01-01",11923.447,143269352,30539200,173808552
"7","2004-04-01",12112.815,163243209,33932790,197175999
"8","2004-07-01",12305.307,164666945,37277161,201944106
"9","2004-10-01",12527.214,158590110,32190924,190781034
"10","2005-01-01",12767.286,153891514,33811985,187703499
"11","2005-04-01",12922.656,171956796,36825835,208782631
"12","2005-07-01",13142.642,172107404,39450343,211557747
"13","2005-10-01",13324.204,159305773,33500259,192806032
"14","2006-01-01",13599.16,154520196,34598614,189118810
"15","2006-04-01",13753.424,172270869,38920765,211191634
"16","2006-07-01",13870.188,169091390,41095339,210186729
"17","2006-10-01",14039.56,162480165,35125873,197606038
"18","2007-01-01",14215.651,157032821,35911397,192944218
"19","2007-04-01",14402.082,178177772,39938983,218116755
"20","2007-07-01",14564.117,178427984,42934417,221362401
"21","2007-10-01",14715.058,165546873,37540175,203087048
"22","2008-01-01",14706.538,159576540,38693878,198270418
"23","2008-04-01",14865.701,173217624,41059977,214277601
"24","2008-07-01",14898.999,168048054,42617814,210665868
"25","2008-10-01",14608.208,150867964,35740042,186608006
"26","2009-01-01",14430.901,142040275,34996736,177037011
"27","2009-04-01",14381.236,161097054,37635989,198733043
"28","2009-07-01",14448.882,164272162,41458211,205730373
"29","2009-10-01",14651.248,150657764,35658397,186316161
"30","2010-01-01",14764.611,142366311,36366924,178733235
"31","2010-04-01",14980.193,163030349,40186140,203216489
"32","2010-07-01",15141.605,166817949,43943927,210761876
"33","2010-10-01",15309.471,157322984,37443472,194766456
"34","2011-01-01",15351.444,145612246,37087078,182699324
"35","2011-04-01",15557.535,166619412,42286956,208906368
"36","2011-07-01",15647.681,168696573,45597996,214294569
"37","2011-10-01",15842.267,157319436,38915096,196234532
"38","2012-01-01",16068.824,149686616,39327422,189014038
"39","2012-04-01",16207.13,167344212,43868997,211213209
"40","2012-07-01",16319.54,168469075,47377947,215847022
"41","2012-10-01",16420.386,156789579,40259517,197049096
"42","2013-01-01",16629.05,150121555,40994736,191116291
"43","2013-04-01",16699.551,167782293,46058483,213840776
"44","2013-07-01",16911.068,168191981,49783515,217975496
"45","2013-10-01",17133.114,159581725,42807775,202389500
"46","2014-01-01",17144.281,151232725,42779662,194012387
"47","2014-04-01",17462.703,172398214,49171362,221569576
"48","2014-07-01",17743.227,174045984,52554081,226600065
"49","2014-10-01",17852.54,165150032,44517752,209667784
"50","2015-01-01",17991.348,156450516,45134517,201585033
"51","2015-04-01",18193.707,179762225,51343988,231106213
"52","2015-07-01",18306.96,183889753,56241222,240130975
"53","2015-10-01",18332.079,175914400,47895281,223809681
"54","2016-01-01",18425.306,165179471,48296316,213475787
"55","2016-04-01",18611.617,186404944,53871982,240276926
"56","2016-07-01",18775.459,188254322,59251219,247505541
"57","2016-10-01",18968.041,180158091,50572954,230731045
"58","2017-01-01",19148.194,169151309,50108892,219260201
"59","2017-04-01",19304.506,192288444,58228323,250516767
"60","2017-07-01",19561.896,192384008,62142118,254526126
"61","2017-10-01",19894.75,187911337,52550514,240461851
"62","2018-01-01",20155.486,176553513,53335462,229888975
"63","2018-04-01",20470.197,202683057,61285272,263968329
"64","2018-07-01",20687.278,203347527,64715574,268063101
"65","2018-10-01",20819.269,195388690,55903409,251292099
"66","2019-01-01",21013.085,183947872,55267300,239215172
"67","2019-04-01",21272.448,211093217,63761870,274855087
"68","2019-07-01",21531.839,212002480,65989349,277991829
"69","2019-10-01",21706.532,204501691,56417402,260919093
"70","2020-01-01",21538.032,155939078,43741541,199680619
"71","2020-04-01",19636.731,26874088,1578192,28452280
"72","2020-07-01",21362.428,71208752,6440813,77649565
"73","2020-10-01",21704.706,81585922,11286605,92872527
"74","2021-01-01",22313.85,88132908,12115612,100248520
"75","2021-04-01",23046.934,156661804,21484076,178145880
"76","2021-07-01",23550.42,181276780,29574461,210851241
"77","2021-10-01",24349.121,179863287,31447063,211310350
"78","2022-01-01",24740.48,159495597,32689619,192185216
"79","2022-04-01",25248.476,197837171,48826823,246663994
